Gene1,Gene2,Score
ENSG00000132470,ENSG00000178209,0.985643
ENSG00000132470,ENSG00000112851,0.966263
ENSG00000132470,ENSG00000169398,0.997397
ENSG00000010810,ENSG00000132470,0.971887
ENSG00000026025,ENSG00000132470,0.974334
ENSG00000160691,ENSG00000132470,0.97179
ENSG00000141736,ENSG00000132470,0.996821
ENSG00000146648,ENSG00000169083,0.961827
ENSG00000128602,ENSG00000185920,0.990488
ENSG00000173020,ENSG00000185920,0.989722
ENSG00000124181,ENSG00000177885,0.977324
ENSG00000105647,ENSG00000145675,0.996254
ENSG00000079805,ENSG00000141968,0.959767
ENSG00000177885,ENSG00000113263,0.973811
ENSG00000142867,ENSG00000198286,0.994338
ENSG00000100030,ENSG00000169032,0.999923
ENSG00000139436,ENSG00000149269,0.998727
ENSG00000179295,ENSG00000033327,0.991022
ENSG00000198821,ENSG00000070159,0.950666
ENSG00000149269,ENSG00000102606,0.995115
ENSG00000089159,ENSG00000120899,0.996059
ENSG00000120899,ENSG00000177885,0.972649
ENSG00000185499,ENSG00000168036,0.951244
ENSG00000015285,ENSG00000010810,0.990793
ENSG00000140368,ENSG00000015285,0.992318
ENSG00000141293,ENSG00000010810,0.986938
ENSG00000197122,ENSG00000141293,0.987616
ENSG00000141293,ENSG00000177885,0.974181
ENSG00000114423,ENSG00000177885,0.971457
ENSG00000120899,ENSG00000010810,0.984668
ENSG00000010810,ENSG00000110395,0.998598
ENSG00000182866,ENSG00000169398,0.950264
ENSG00000141293,ENSG00000182866,0.978534
ENSG00000010810,ENSG00000165025,0.993944
ENSG00000110395,ENSG00000165025,0.984458
ENSG00000213658,ENSG00000141968,0.969962
ENSG00000167193,ENSG00000110395,0.963671
ENSG00000198087,ENSG00000140368,0.968617
ENSG00000142208,ENSG00000065675,0.958301
ENSG00000110395,ENSG00000134308,0.961876
ENSG00000198821,ENSG00000177885,0.982325
ENSG00000173039,ENSG00000168610,0.995703
ENSG00000162434,ENSG00000169047,0.972991
ENSG00000164327,ENSG00000198793,0.997971
ENSG00000168610,ENSG00000170345,0.987968
ENSG00000132155,ENSG00000162434,0.988869
ENSG00000132155,ENSG00000174775,0.998773
