ID,trait_PathoAD,trait_ClinAD,trait_B.amyloid,trait_Tau.tangles,trait_Cognitive.decline,direction_CBE,direction_TCX
ENSG00000177108,1.27,0.63,0.36,0.79,0.42,NONE,NONE
ENSG00000075785,0.18,0.57,0.87,0.06,0.42,NONE,NONE
ENSG00000172269,-0.16,1.14,-0.75,-0.67,0.42,NONE,NONE
ENSG00000164162,-1.23,0.02,-1.05,-0.2,-0.41,NONE,NONE
ENSG00000119707,0.02,0.09,-0.06,0.31,0.41,NONE,NONE
ENSG00000112759,0.3,0.97,-0.1,0,0.4,UP,DOWN
ENSG00000196230,-1.33,0.06,-2.71,-2.25,-0.39,NONE,NONE
ENSG00000137502,0.2,0.37,1.77,0.41,0.39,NONE,UP
ENSG00000100387,0.01,0.44,-0.93,0.56,0.39,NONE,NONE
ENSG00000117643,0.06,0.06,-0.44,0.38,0.39,NONE,NONE
ENSG00000155506,1.43,0.29,0.12,0.15,0.39,NONE,NONE
ENSG00000125743,-0.25,-0.45,-0.43,0.67,-0.38,NONE,NONE
ENSG00000104852,0.13,-0.17,0.61,-0.03,0.38,NONE,NONE
ENSG00000158106,-0.37,-0.37,-0.78,0.05,-0.37,NONE,NONE
ENSG00000091409,0.29,0.52,1.52,-0.77,0.37,NONE,UP
ENSG00000177106,0.19,0.06,0.39,0.21,0.36,NONE,NONE
ENSG00000165119,0.01,0.62,0.64,-0.45,0.35,NONE,NONE
ENSG00000103197,-0.03,-0.12,-0.04,-0.18,0.34,NONE,NONE
ENSG00000119638,-0.05,0.09,0.73,-1.21,0.33,NONE,NONE
ENSG00000112679,1.39,0.71,1.72,0.16,0.33,NONE,NONE
ENSG00000137364,-0.21,0.05,-0.86,1.18,0.33,NONE,NONE
ENSG00000108651,-0.44,-0.85,-1.17,-0.08,-0.33,NONE,NONE
ENSG00000160551,0.46,0.2,1.24,0.54,0.32,NONE,NONE
ENSG00000120948,0,0.53,0.7,-0.58,0.32,NONE,NONE
ENSG00000113296,0.2,0.64,0.97,-0.02,0.31,NONE,UP
ENSG00000163636,-0.16,0.63,0.13,-0.4,0.31,NONE,NONE
ENSG00000244486,0.9,0.14,0.81,2.7,0.3,NONE,NONE
ENSG00000142330,0.48,-0.25,0.17,1.15,0.3,NONE,NONE
ENSG00000143862,1.19,0.08,0.12,0.1,0.3,NONE,NONE
ENSG00000105618,0.67,-0.11,0.76,1.35,0.29,NONE,NONE
ENSG00000174951,-0.43,-0.15,-1.41,-0.04,-0.29,NONE,NONE
ENSG00000117410,0.14,-0.11,-0.23,0.21,-0.29,NONE,NONE
ENSG00000197323,-0.02,-0.3,-0.72,1.56,0.28,NONE,NONE
ENSG00000073849,0.48,0.38,0.94,-0.6,-0.28,UP,UP
ENSG00000173171,-0.07,-0.84,-1.2,0.48,-0.28,NONE,NONE
ENSG00000138668,-0.32,0.53,-0.18,-0.73,0.28,DOWN,NONE
ENSG00000117143,-0.11,0.09,-0.3,-0.41,0.27,NONE,NONE
ENSG00000166068,0.21,0.08,1.42,0.01,0.26,NONE,NONE
ENSG00000102878,-0.27,0.09,-0.21,0.04,0.26,NONE,NONE
ENSG00000178814,0.14,-0.31,0.25,-0.02,0.26,DOWN,NONE
ENSG00000173660,-0.49,0.16,-1.5,0.05,-0.26,NONE,NONE
ENSG00000100601,-0.18,-0.17,-0.39,-0.76,0.26,NONE,NONE
ENSG00000183087,0.2,-0.24,-0.11,-0.01,-0.26,NONE,NONE
ENSG00000198001,0.28,0.01,1.98,0.26,0.25,NONE,NONE
ENSG00000106648,-0.57,-0.32,-0.42,-0.48,-0.25,NONE,NONE
ENSG00000105204,0.28,-0.29,-1.05,0.51,-0.24,NONE,NONE
ENSG00000197921,0.5,-0.01,-0.1,0.68,0.24,NONE,NONE
