Gene,Target,Custom_Color_Target,Custom_Color_Seed
ENSG00000140905,MitoCarta,Blue,
ENSG00000124523,MitoCarta,Blue,
ENSG00000166123,MitoCarta,Blue,
ENSG00000214736,MitoCarta,Blue,
ENSG00000114023,MitoCarta,Blue,
ENSG00000115657,MitoCarta,Blue,
ENSG00000133315,MitoCarta,Blue,
ENSG00000128311,MitoCarta,Blue,
ENSG00000198804,MitoCarta,Blue,
ENSG00000117640,MitoCarta,Blue,
ENSG00000100445,MitoCarta,Blue,
ENSG00000132837,MitoCarta,Blue,
ENSG00000102078,MitoCarta,Blue,
ENSG00000141391,MitoCarta,Blue,
ENSG00000125611,MitoCarta,Blue,
ENSG00000154174,MitoCarta,Blue,
ENSG00000158793,MitoCarta,Blue,
ENSG00000180185,MitoCarta,Blue,
ENSG00000156026,MitoCarta,Blue,
ENSG00000135929,MitoCarta,Blue,
ENSG00000198763,MitoCarta,Blue,
ENSG00000198886,MitoCarta,Blue,
ENSG00000198786,MitoCarta,Blue,
ENSG00000081791,MitoCarta,Blue,
ENSG00000138399,MitoCarta,Blue,
ENSG00000102738,MitoCarta,Blue,
ENSG00000144908,MitoCarta,Blue,
ENSG00000106246,MitoCarta,Blue,
